farmName,stakingAddress,rewardToken,stakingToken,externalRewardToken1,externalRewardToken2,rewardTokens,token0Address,token1Address,token0Name,token1Name,tvlUSD,rewardsUSDPerYear
mCUSD-mCEUR,0x4488682Fd16562a68Ea0d0f898413e075f42E6da,0x471EcE3750Da237f93B8E339c536989b8978a438,0x27616d3DBa43f55279726c422daf644bc60128a8,0x00Be915B9dCf56a3CBE739D9B9c202ca692409EC,,2,0x64dEFa3544c695db8c535D289d843a189aa26b98,0xa8d0E6799FF3Fd19c6459bf02689aE09c4d78Ba7,Moola cUSD AToken,Moola cEUR MToken,115690017343768180000000,0
mCUSD-WBTC,0xE6AD921bDa9F4971aBc8FA78cBD07AeB5c1A61ea,0x471EcE3750Da237f93B8E339c536989b8978a438,0x0448E99ab5f8230713a9f5D7E64eC2aB6e5952a3,0x00Be915B9dCf56a3CBE739D9B9c202ca692409EC,,2,0x918146359264C492BD6934071c6Bd31C854EDBc3,0xBAAB46E28388d2779e6E31Fd00cF0e5Ad95E327B,Moola interest bearing CUSD,Wrapped BTC,904589134308233400000000,123334927455568770000000
WETH-mCUSD,0x81DDaFE15c01aDfda3dd8Fe9Bb984E64Cba606eB,0x471EcE3750Da237f93B8E339c536989b8978a438,0x313e1B5edEEbaB73b6e869a74A896dC999E204Cc,0x00Be915B9dCf56a3CBE739D9B9c202ca692409EC,,2,0x122013fd7dF1C6F636a5bb8f03108E876548b455,0x918146359264C492BD6934071c6Bd31C854EDBc3,Wrapped Ether,Moola interest bearing CUSD,1585702206876323600000000,229859070398773560000000
POOF-pCELO,0x999DF57c86EcC98E0e55f5f1dEdD102A89F25e8e,0x00400FcbF0816bebB94654259de7273f4A05c762,0xBdFC22680b72f0B127d70988FeB4B1a68C0b99Eb,0x00Be915B9dCf56a3CBE739D9B9c202ca692409EC,,2,0x00400FcbF0816bebB94654259de7273f4A05c762,0x301a61D01A63c8D670c2B8a43f37d12eF181F997,PoofCash,Poof CELO,18776310533209670000000,23712704829456510000000
ARI-CELO,0xEfe2f9d62E45815837b4f20c1F44F0A83605B540,0x20677d4f3d0F08e735aB512393524A3CfCEb250C,0x65596e0f281b0CBcba0aA261982690E9BCBa7247,0x00Be915B9dCf56a3CBE739D9B9c202ca692409EC,,2,0x20677d4f3d0F08e735aB512393524A3CfCEb250C,0x471EcE3750Da237f93B8E339c536989b8978a438,Ari Swap,Celo native asset,511051749806185600000000,1403894334501373300000000
PACT-CELO,0x6F11B6eA70DEe4f167b1A4ED1F01C903f6781960,0x471EcE3750Da237f93B8E339c536989b8978a438,0x39AC98447f28612D3583e46E57cb106337FCAe3F,0x46c9757C5497c5B1f2eb73aE79b6B67D119B0B58,0x00Be915B9dCf56a3CBE739D9B9c202ca692409EC,3,0x46c9757C5497c5B1f2eb73aE79b6B67D119B0B58,0x471EcE3750Da237f93B8E339c536989b8978a438,impactMarket,Celo native asset,1058407917178450200000000,1953439481347782000000000
mCUSD-IMMO,0x155DA6F164D925E3a91F510B50DEC08aA03B4071,0x00Be915B9dCf56a3CBE739D9B9c202ca692409EC,0x7d63809EBF83EF54c7CE8dEd3591D4E8Fc2102eE,,,1,0x918146359264C492BD6934071c6Bd31C854EDBc3,0xE685d21b7B0FC7A248a6A8E03b8Db22d013Aa2eE,Moola interest bearing CUSD,Immortal,21627872798165440000000,22424125190233506000000
WMATIC-mCUSD,0x31338296250B845cD1C8fEEab7dfa3C0544b658E,0x00Be915B9dCf56a3CBE739D9B9c202ca692409EC,0xFDC0e647217c354D009C41ce8Eb0de86162dBC63,,,1,0x2E3487F967DF2Ebc2f236E16f8fCAeac7091324D,0x918146359264C492BD6934071c6Bd31C854EDBc3,Wrapped Matic,Moola interest bearing CUSD,24478646511189683000000,5613340677869524000000
cMCO2-mCUSD,0x6f79b6B3C00D11DBd05475be1240ad8f2c20bcB6,0x00Be915B9dCf56a3CBE739D9B9c202ca692409EC,0x6065737B07Bc24cF3237E8d91bedd9Be0314fb25,,,1,0x32A9FE697a32135BFd313a6Ac28792DaE4D9979d,0x918146359264C492BD6934071c6Bd31C854EDBc3,cMCO2,Moola interest bearing CUSD,42196601375059890000000,5613340677869524000000
ABR-mCUSD,0x3904056570Ca95Cc3371E349A7733b5BfaeD64e5,0x6e512BFC33be36F2666754E996ff103AD1680Cc9,0x696E8429D87dB245110F83296FB2f80Df2aD58Fc,0x00Be915B9dCf56a3CBE739D9B9c202ca692409EC,,2,0x6e512BFC33be36F2666754E996ff103AD1680Cc9,0x918146359264C492BD6934071c6Bd31C854EDBc3,Allbridge,Moola interest bearing CUSD,90613938469695830000000,69434523033095740000000
